Cause,Effect
atoC,atoDAE
atoC,atoDAB
rpoN,atoC
rpoN,hypA
rpoN,glnALG
rpoN,glnHPQ
rpoN,nac
rpoN,hycABCDEFGH
rpoN,dctA
rpoN,fdhF
rpoN,nycA
rpoN,rtcR
rpoN,fhlA
rpoN,pspABCDE
glnALG,glnHPQ
glnALG,nac
nac,gdhA
arcA,dctA
arcA,nuoABCEFGHIJKLMN
arcA,appCBA
arcA,glpACB
arcA,sdhCDAB_b0725_sucABCD
arcA,focA_pflB
arcA,sodA
arcA,fadBA
arcA,appY
arcA,icdA
crp,glnALG
crp,dctA
crp,fur
crp,glpACB
crp,sdhCDAB_b0725_sucABCD
crp,cirA
crp,araE
crp,caiTABCDE
crp,dsdXA
crp,tnaLAB
crp,glpD
crp,speC
crp,acs
crp,focA_pflB
crp,srlAEBD_gutM_srlR_gutQ
crp,tdcABCDEFG
crp,dadAX
crp,caiF
crp,melAB
crp,malS
crp,melR
crp,gntT
crp,galS
crp,fixABCX
crp,ebgAC
crp,cyaA
crp,tsx
crp,ubiG
crp,gntKU
crp,fucPIKUR
crp,glgCAP
crp,dcuB_fumB
crp,rhaT
crp,araC
crp,malEFG
crp,ansB
crp,ppiA
crp,nagBACD
crp,yiaKLMNOPQRS
crp,malT
fur,fhuACDB
fur,cirA
fur,fepB
fur,sodA
fur,fepA_entD
fur,entCEBA
fur,fepDGC
fur,fecIR
fhlA,hycABCDEFGH
fhlA,fdhF
fhlA,hypABCDE
yjdHG,dctA
yjdHG,dcuB_fumB
caiF,caiTABCDE
caiF,fixABCX
himA,glnHPQ
himA,hycABCDEFGH
himA,nuoABCEFGHIJKLMN
himA,caiTABCDE
himA,focA_pflB
himA,sodA
himA,tdcABCDEFG
himA,hypABCDE
himA,himD
himA,osmE
himA,ecpD_htrE
himA,carAB
himA,ompC
himA,ompF
himA,narK
himA,ompR_envZ
himA,narGHJI
himA,pspABCDE
melR,melAB
narL,nuoABCEFGHIJKLMN
narL,focA_pflB
narL,caiF
narL,nrfABCDEFG
narL,nirBDC_cysG
narL,narK
narL,narGHJI
narL,dcuB_fumB
glpR,glpACB
glpR,glpD
nlpD_rpoS,acs
nlpD_rpoS,ftsQAZ
nlpD_rpoS,appY
gntR,gntT
gntR,edd_eda
gntR,gntKU
fnr,arcA
fnr,nuoABCEFGHIJKLMN
fnr,glpACB
fnr,sdhCDAB_b0725_sucABCD
fnr,acs
fnr,focA_pflB
fnr,tdcABCDEFG
fnr,caiF
fnr,hypABCDE
fnr,nirBDC_cysG
fnr,narK
fnr,narGHJI
fnr,dcuB_fumB
fnr,ansB
fnr,icdA
evgA,ompC
iclMR,acs
lrp,ompC
lrp,ompF
lrp,kbl_tdh
ompR_envZ,ompC
ompR_envZ,ompF
argR,carAB
fadR,fadBA
fadR,iclMR
GalR,galS
appY,appCBA
araC,araE
rcsA,ftsQAZ
tdcAR,tdcABCDEFG
deoR,tsx
FruR,icdA
malT,malS
malT,malEFG
