Cause,Effect
fliAZY,flgKL
fliAZY,flhBAE
fliAZY,tarTapcheRBYZ
fliAZY,fliE
fliAZY,motABcheAW
fliAZY,fliLMNOPQR
fliAZY,fliC
fliAZY,flgMN
fliAZY,fliDST
fliAZY,flgBCDEFGHIJK
fliAZY,fliFGHIJK
fliAZY,tsr
flhDC,fliAZY
flhDC,flhBAE
flhDC,fliE
flhDC,fliLMNOPQR
flhDC,flgBCDEFGHIJK
flhDC,fliFGHIJK
hns,fliAZY
hns,flhDC
hns,osmC
hns,caiF
hns,rcsAB
ompR_envZ,flhDC
ompR_envZ,csgDEFG
ompR_envZ,csgBA
ompR_envZ,fadL
ompR_envZ,ompC
csgDEFG,csgBA
crp,flhDC
crp,cpdB
crp,araJ
crp,glpD
crp,aldB
crp,nagBACD
crp,glgS
crp,galETKM
crp,dctA
crp,araE
crp,cyaA
crp,caiF
crp,melAB
crp,fixABCX
crp,fadL
crp,glpACB
crp,caiTABCDE
crp,lacZYA
crp,manXYZ
crp,dcuB_fumB
crp,uhpT
crp,araC
crp,sdhCDAB_b0725_sucABCD
crp,ansB
crp,glnALG
crp,proP
crp,glgCAP
crp,malK_lamB_malM
crp,nagE
crp,tsx
crp,ebgAC
crp,ivbL_ilvBN
crp,rhaT
crp,malXY
crp,udp
crp,malEFG
crp,malT
crp,speC
nagBACD,manXYZ
nagBACD,nagE
cpxAR,motABcheAW
cpxAR,xprB_dsbC_recJ
cpxAR,skp_lpxDA_fabZ
cpxAR,dsbA
cpxAR,htrA
cpxAR,tsr
caiF,fixABCX
caiF,caiTABCDE
lrp,osmC
lrp,livJ
lrp,oppABCDF
lrp,gltBDF
lrp,ompC
lrp,ilvIH
lrp,kbl_tdh
arcA,dctA
arcA,glpACB
arcA,icdA
arcA,sdhCDAB_b0725_sucABCD
arcA,fadBA
arcA,cydAB
arcA,fumA
arcA,cyoABCDE
arcA,glcDEFGB
arcA,nuoABCEFGHIJKLMN
yjdHG,dctA
yjdHG,dcuB_fumB
rpoE_rseABC,xprB_dsbC_recJ
rpoE_rseABC,skp_lpxDA_fabZ
rpoE_rseABC,ecfABC
rpoE_rseABC,nlpB_purA
rpoE_rseABC,ecfH
rpoE_rseABC,ostA_surA_pdxA
rpoE_rseABC,htrA
rpoE_rseABC,mdoGH
rpoE_rseABC,uppS_cdsA_ecfE
rpoE_rseABC,ecfK
fnr,caiF
fnr,glpACB
fnr,dcuB_fumB
fnr,arcA
fnr,icdA
fnr,sdhCDAB_b0725_sucABCD
fnr,ansB
fnr,cydAB
fnr,hypABCDE
fnr,cyoABCDE
fnr,nuoABCEFGHIJKLMN
fnr,narK
fadR,fadL
fadR,fadBA
fadR,iclMR
fadR,uspA
araC,araJ
araC,araE
lacI,lacZYA
nlpD_rpoS,osmC
nlpD_rpoS,aldB
nlpD_rpoS,cpxAR
nlpD_rpoS,proP
nlpD_rpoS,adhE
narL,caiF
narL,dcuB_fumB
narL,nuoABCEFGHIJKLMN
narL,adhE
narL,narK
glpR,glpD
glpR,glpACB
envY_ompT,ompC
malT,malK_lamB_malM
malT,malEFG
himA,ompR_envZ
himA,caiTABCDE
himA,hypABCDE
himA,ompC
himA,glcDEFGB
himA,nuoABCEFGHIJKLMN
himA,narK
