udp,crp,araFG_araH_1H_2,cyaA,uhpT,glpD,ppiA,caiF,dadAX,melR,uhpA,ivbL_ilvBN,dcuB_fumB,tdcABCDEFG,araE,caiTABCDE,glpR,hns,glpACB,fixABCX
32.600799171510594,118.90907478286707,109.36470306541314,342.9360214524404,410.0256200787265,195.3222901137267,2295.1257426685665,383.70616236703023,388.6576543580387,2584.041927059799,342.07075677001654,0.0762778844994957,9294.825724516922,2916.838132349674,1940.1984043526145,255.45623600807733,387.8730356083846,17644.451646587208,21.372911286903665,3981.909935190972
2.1850419445445586,27.716059923889798,8.449334022820574,344.8834789386202,999.4469132187253,33.90522227571188,2316.201002669165,63.29130081787957,17.891399474289056,1424.6310168738519,1533.988265467959,0.00035597069259805486,9458.622229536375,1266.4499219651068,624.6793067300404,63.949135366582425,662.4923244450581,29918.04604115272,3.443466201702883,790.8666442215928
211.0125538518089,492.044112403832,2534.099806796669,262.9249001208675,906.9848244554814,549.1046197548059,918.9361374818441,985.7036153283756,3179.5388853899995,5713.121838758863,354.93295726362646,37.677371441265954,5803.611912788216,8182.41247210977,6518.452811510977,653.0847894454606,364.8829966121869,16426.3290378158,44.306186298741295,13188.151159746953
106.06116860481899,243.28282052757297,709.5089151820104,304.92280290513884,1078.8953371210812,331.0460793497627,2128.8641154418174,471.0104550149938,1520.181991077627,4679.097526591262,1533.2144947194372,1.8487666420665263,8500.026933480136,6126.593421637015,4199.70136896238,376.8424713886016,519.0687228278971,20523.8421903031,20.11684526499747,6373.784178137677
197.64993180759478,324.39112934821026,1211.1805803875025,302.4376407925048,819.5901355597533,371.7927325690648,1695.6997843393451,790.6701717446452,1880.2365951430672,3821.9152890602363,858.6673388669818,5.087727748439449,7201.899958039065,6554.955668864771,5143.7486545309175,443.99171576294935,461.4270942780036,20762.77903891085,35.29660623929883,9167.05492691067
335.48766753621317,709.208669056214,2934.411342691869,187.18148884010117,1607.5988538633726,687.1792233730091,745.9258185329825,1369.7893511727914,4589.89792901087,4784.0146332837985,1510.9178981925406,57.540766026254566,4539.330302830503,11259.946431315117,7986.9035532548905,555.4799998036016,262.2713790478311,13827.585409818748,54.4857681670988,12681.781557797762
383.7832340540458,916.9981229917292,5759.489573552242,56.069031749519404,900.8257481798584,1042.7709907135827,309.30712353838936,2026.662165189364,5237.114758602524,5712.9931213417885,264.9350546197991,154.48030067656686,2185.06734032367,10854.131784141646,8709.24656076096,748.3430267600141,123.28376943604131,5597.435369610918,85.76565892599494,17266.335289340233
181.10256927105542,401.215260316364,1005.1060084418242,265.68840489849816,243.72838215982415,426.4000424343602,1795.9783638293973,512.8621893565125,1466.170424087119,4359.051710756938,10.839697350739927,4.701768103887589,8499.33675702213,4936.440884655443,4938.252244390271,492.38394850042573,490.413166261626,26417.436262268482,30.48691161904441,6331.961056705694
365.1706777127657,610.6875651471453,3370.1199969416216,198.71799686926258,1548.2528907070166,560.1107830224897,920.786327664223,1207.6659325513397,4128.543734375755,5709.746473257164,1529.162144119256,46.264766933740894,5154.568495367686,9769.301700742924,6443.225149955266,701.6920145872078,328.3022804654101,14432.679431037726,70.94621408779591,14158.693471942759
400.93860072649545,1058.2165465203434,5509.3044066406055,33.36241361761727,1297.4211938314481,993.561262241028,153.75020996986362,1838.772088366624,5749.143419593757,6337.59779959769,420.63193335218034,213.3654193888429,1251.3451406993952,11020.591966919656,7830.173576840016,781.8064575494765,94.84916784135667,4430.750846146474,93.84705672603813,18892.22414186664
288.20829320525814,595.3419462596362,2856.2814781031348,187.1348502967984,1018.9780618670967,650.6370949727777,1080.897129898256,1021.2708724430432,3996.0052935546773,6070.195154634126,1046.1448079275824,52.788838151340826,5676.197935289308,9609.308833375977,6591.8774532672605,672.7394778280367,319.16154915300467,13018.486020081698,67.83718311625715,14908.935563447832
140.57181113393065,261.4784136174722,618.3453549142573,313.11869248978377,918.9968468839917,281.31385671114623,2136.3326215747675,387.5666339299309,1169.0933575591037,4721.435023738607,626.3655658633212,1.5143955684911128,9073.515223328992,5923.203804032331,4429.059198321687,321.7331784244336,584.3785265593704,23603.534762532818,19.291674104702466,7230.271718666844
153.6829064330273,289.6949865897117,625.4024145061434,333.57893160553806,1189.0126213395336,337.05260286928456,2147.8287003010887,627.0475862073516,1443.0046891579068,4103.46707801398,1035.531948069633,2.2833035344477013,8284.178827658672,6773.656443531774,3880.011097986035,445.0101519681847,478.56854801445814,24026.98963149411,29.05254761314805,6270.286875730079
363.7663006594792,885.9174839595564,5794.24308949732,101.23382195640266,1583.6481859284256,784.0146008433215,444.58874641659065,1695.1181917711044,5597.624063232102,4173.194639620619,1317.733900884095,106.23241763413458,2765.7408729942467,8694.120906723378,8628.180378075238,720.1583944086882,249.79255129923587,10548.888184828349,57.720259917484455,17666.234485647263
411.0484320948681,1140.3064920056668,7118.5922259936015,1.4083351191038365,750.3259467538527,1197.7739957627318,6.303802912402811,2549.8790737616546,6162.224941861747,7347.026245428084,157.85212976364556,264.5705027165481,72.96554547874584,12061.911906474312,8957.74414050277,830.0408407382205,4.748921804363602,214.54653736054226,125.43010297738695,20405.03937735517
72.06857063437963,181.98119465128326,321.3966962513727,335.9803974411572,681.17820910539,189.15688444016536,2233.2779271096388,529.0443317730063,684.7167348740645,2842.8907174754772,1220.4848736559868,0.5806292665398621,8129.974401393716,4354.036041729572,3310.4157923318403,300.6521653050738,613.0905387610687,28175.417346841783,24.77087730697823,4951.524525676269
80.78357011392022,167.15251602366433,303.12416384566933,337.6898073683876,298.4754814545659,175.98994669810887,2256.352434526922,305.42633845677847,755.293547186948,2672.697452857693,22.52434521761475,0.40320614629849694,8788.713057367147,3175.2742445013564,3114.0854455433528,343.7588736480738,600.9315433446393,22273.20951589641,20.599724634991745,3595.5576686165864
239.726344677249,452.8873843082354,1945.550544588407,299.02162505019777,897.0553247809627,478.49476490881926,1714.7899154173556,732.1990791787716,2981.535804064685,4171.414220249199,562.7020206759485,11.33782909459026,6532.6673421025525,7861.1255076734715,4913.11842875802,391.76950672149127,427.22808961776803,21431.75842158605,41.63051560537408,9711.777290588565
308.11409314373435,787.3789968197035,2621.31323715375,179.7579096594452,1027.7293739547376,866.2313480770877,985.8298717374533,1273.7811424124166,4400.282188543981,4843.156419941913,847.4906943448295,51.785901635266455,4151.013754573361,8067.554219811062,8433.997987424884,581.9162327449479,336.18423085481686,14070.857814687757,65.3919927674941,14624.928279726528
64.56520078876514,176.63996822650722,322.0488142406112,339.6112025366077,930.0364524454976,169.8750560558555,2286.4022715613473,340.4840680297652,638.2776068908997,3604.0171827912573,1187.643319017191,0.2659733264389603,9152.98103990106,3135.152711638197,2556.271246807815,187.30443132656376,549.2014233397567,26069.191678258383,14.119812303270947,4465.1077567766215
260.3365459373601,632.8402854166694,3134.2626708317216,195.07055826453416,1001.8945843855644,627.670562543182,1060.524666405731,985.4269788879527,4275.579763172835,5115.227651464521,479.8550234068196,46.177834483699066,5642.71505053912,10486.168934526353,7235.96999966888,541.4247758998929,322.7851849015304,12847.533006784775,70.10676413430596,11378.246133536028
383.23552654313784,813.7882364940626,5961.847637233985,96.15169135167407,1585.414654881187,825.6474063546173,540.5569316016768,1159.5501475396566,5252.666281707832,5588.8863986967945,1524.7678606889083,97.24901546259905,3606.337058576601,9861.207108732156,7301.751975818719,637.5730935261887,208.87751243487133,13998.974271092706,69.873318406371,15684.00966153275
161.333419612208,366.3572756297028,1075.5540875872498,304.95321612432997,1248.8129020056688,347.2225051363916,1645.3278500410113,678.9629088649089,1383.0986784354363,3666.0949971286327,1414.1009751383688,3.0057299844166865,7605.238685719685,5755.509160562331,4236.775357662041,517.4160079466701,479.2050161185488,22982.686877050342,30.3745208209438,5648.900600285025
