lacI,lacZYA,crp,ebgAC,epd_pgk,glpD,galETKM,dctA,ppiA,fadL,focA_pflB,tdcABCDEFG,caiTABCDE,fadR,gntT,tsx,caiF,glgCAP,narL,arcA
3739.215158619994,1046.0566134861117,53.17877295719418,5515.205244795769,1054.1426256981156,2437.462426943185,1188.0782847069854,377.30058190881323,1762.1275516677115,486.94207889735986,298.48958186628585,7507.39940710307,3266.9397763948964,4209.074456802959,9055.738584303042,3399.087512219365,103.90203263757995,6636.05777038433,1252.5180392454731,143.2689592362929
3213.784656969379,674.9787340568616,32.179377534471804,4042.434012425492,581.2805697886303,1500.9486797507031,736.3801137128429,296.6313384893988,3643.5537409359713,403.6864162109265,501.2295919898342,5870.238776203518,2712.7773894397124,5959.918868604265,1592.6295619991495,6608.5731158306935,100.69091724573,1724.7229159547767,1035.695429679791,595.8222375723988
2959.50506021563,741.1603571162633,19.119468875088245,2979.213005483197,303.2759235989724,834.6353391782185,795.5483110634436,696.3244120254764,3858.8820051757702,546.9216740898037,201.64808623226816,5013.519767947079,1874.3668090090923,8107.525171580669,290.22540483246837,5982.71092741029,64.7275308591128,856.3655243465222,1171.5937425002642,67.48946600768025
3712.796404724997,736.8039867966097,52.679813768929655,5451.352640323828,1014.7180386112283,2379.2867235471304,1307.7817111539582,162.60360452463541,1588.0207722824707,579.8338688253483,821.6896447071991,7198.371388771555,3886.969262504562,3356.4869398664446,7569.935107489796,2871.031540262992,196.8679539390396,6303.4815605555295,676.124893846425,506.6114333999898
5712.273339192761,734.9638502162766,62.755913672478464,5761.267782045605,1123.1342082304975,2983.220452383359,1372.1748579206799,65.59255468282836,759.0303361072166,561.8365904303462,768.0728422948795,9312.4512685944,4881.380739115537,2433.860984781312,12243.80696437902,1727.7385269823974,190.3157671873115,8375.118532602037,560.1149310323261,1005.1837598887253
3658.876051515504,306.4019084782733,6.303240340935268,1117.7315248216216,44.455619816486,137.27176797939038,341.8190122866297,700.1196486798724,4413.195393942146,604.7208706614155,222.92976271188357,1786.2703900781735,1092.0289782654204,8933.237206449772,5.657979955747849,7803.09409227249,34.34572374219594,97.11852129711065,658.2392042989994,185.87143061510585
2147.1501929681704,733.4405512541513,27.82781665366816,3718.7338643482067,599.3993390225382,1479.9067992213159,833.1083088986238,223.3893047699797,2756.6523366995475,442.48975992910334,406.9276579693359,5854.559710796792,2978.613145606977,6741.961578090861,1657.528501328656,6442.143680056738,85.36366068992456,2564.594612239295,1109.9261449864932,544.7200620692258
7599.865253951798,722.6196774839227,66.89163953910875,5794.060523329666,1092.4581204990693,2841.196948954778,1363.2574252265945,55.88713352196021,895.25767863997,508.3260072020018,1024.6608792594277,9112.159159164214,5249.612427555122,2560.464237609469,13762.00779086224,1550.546448265808,457.9903118341277,6886.300448898503,14.018087815237093,902.8309464183417
4559.34322917471,908.1664657398877,61.224989652359504,5280.88230857147,1156.3148322391035,1880.7328920218908,1308.5727244055195,151.36692472019143,1471.8825033241894,617.3094746823226,691.1139125434627,9215.752962197874,4213.486922296876,3407.31095452183,9617.401842366451,3325.388477627999,160.84592120069198,7115.740814470892,678.9007633584134,730.6406006252607
6498.133987316599,560.5134835183222,29.233049571914197,5596.011208968929,664.0993966624545,1908.4076603314504,1219.7481155765272,434.90277591159673,2936.650031126397,564.4126607407062,408.5006911253907,7371.504396179074,3986.546070978639,5289.245492524313,2499.79131189123,5180.872009703379,247.2546232196433,2649.188893134078,358.40938109862435,133.03989168682094
1681.29964751318,1169.3652596703673,38.766208610684174,4734.9852869659635,770.7774113654895,1827.2610420753933,1133.8148039349942,197.0912679837504,2531.248826505481,544.8063618284046,447.55819433207563,5262.893891100913,3148.718743029429,6209.3548068392465,4810.685800175121,5344.844045475671,103.70471990173206,3235.9880342594897,1050.868957435464,803.794521340618
1939.4020079612226,130.50915480685322,1.9074382880537484,424.558585297948,4.581138327669321,10.792145450901758,98.00513452753424,591.8037798783108,4510.12053943532,818.059977796143,193.35201421243454,781.5563169753771,423.19908752722654,9549.736418426186,0.04369048465325713,7989.415782405232,7.577673157628724,12.682034481926374,1559.6990219210747,298.1865452217774
7197.422193353783,633.6592066493263,57.39207031965418,5452.891350178748,1027.6641029406,2447.862679706141,1241.4853191586278,70.22010498333833,1054.3114821292017,863.6506037849499,1108.1145472271398,7558.948706143902,4678.377303403158,2936.8887162431047,11648.224930538272,1943.3079825299806,393.87231195792367,6114.897537010591,96.59196493748004,951.3060172146679
2486.885288056542,1444.6652700703949,67.39398099869798,5992.134392221897,1039.2099598262655,2273.6427463094533,1374.427507282264,230.11126922763847,746.9617691909554,798.7516514158252,473.6999104194619,9828.25021767082,4038.36988659198,2387.213650123472,14356.72774405133,1364.3079337341305,161.44741503432766,8175.047282965193,1316.5639085373382,315.7358089677047
4532.378189146252,1085.8025056910114,66.5584957133543,5566.150040371021,1183.9686165510575,2682.2235525147007,1227.2206112993179,172.14701247707694,1076.0044808608204,678.3866060774078,479.9545861992961,9143.744281474004,3883.5338395710023,2786.4897763974673,12512.227091633677,2164.616744856872,204.88834571992982,6893.187473360785,798.6156162606932,455.2037125451571
7254.970668446971,519.1219537731419,35.80293526009384,4765.033191570282,970.4936973261217,2047.1996199036773,1000.394386701372,228.72560849423988,2540.561567352004,563.3901417945525,1054.576972570078,6574.6487524349095,2986.881247885619,4728.4359681098385,5350.975170624327,4066.2635400528175,272.91041518565925,3983.743524095765,83.42624657970151,577.7405199394464
6867.180047285556,668.964866394213,35.5643445295294,5187.544653325695,859.4771075974802,2149.1986687718163,1008.698290779848,163.30594573446243,2729.2316116773713,574.7293618157967,1000.7433565763237,6009.524495776763,4034.6695797380053,5791.129915067038,4354.308036839662,2858.07718038808,327.91773176876,4978.0773602709605,109.20458518864834,742.936517772158
180.81649060586417,1508.2107133451361,53.6862268509774,6024.323683721756,1065.6325579592476,2216.601514519536,1259.5461181010514,272.13410537944094,1528.6158737279175,446.8087053357018,411.7356672190168,8539.709797461608,3308.8044402808173,3601.6289980459565,10136.832398785586,2707.320994700025,97.87871538122712,5735.206752383081,1641.0796085578063,373.8975570614984
7292.583787505324,545.9230604244999,41.04845325285982,5021.626690713253,702.477979672406,2627.5486811632713,1030.671555125901,176.81540559714836,1932.2127642810385,541.7714505180147,884.0945689940569,5847.5582626488085,4903.510308556096,4082.7508891856123,6315.715511148762,5112.736238600276,287.4845826044527,3558.7805890250947,44.177424335380486,653.6391672092948
7224.346573703438,1029.755600520197,69.17190721287885,6403.0072010331505,1175.90557943789,2933.711313829011,1371.2146284196358,75.60654138269365,571.8120296328995,803.2420920312894,924.3598119717807,9179.415225025728,5149.170376722926,1243.6341591157104,15533.729103042886,775.0626226903917,463.1598872324475,9634.797001306666,101.71714105758736,692.0370424249371
5110.717580169049,779.075359007812,29.042654551078943,3720.459575634566,518.6545449636693,1219.637474259467,639.8351879141943,151.57066259133785,3408.6279100144206,473.890381988876,573.0329941635428,5895.1727357322525,3769.2667302375175,6667.956906368453,1287.7361203971425,6681.120071252077,125.60262166823988,2027.8158864095649,385.4743719656493,1117.3034301378786
4865.569035352097,698.1756939416133,43.12279979283525,5200.121634385615,758.4652468922113,2088.488677062515,1304.226974047705,225.32413004349084,1944.613998256562,455.3569647982499,826.6968806242775,9524.946683007143,4352.776094366573,4285.867130071395,6222.538000995044,3789.8424615388344,218.50968743753089,3204.118111877642,420.6871046913352,545.7079467359629
1007.474904018974,1456.5103420522378,53.875023131993714,5318.289633749172,1133.2491436892378,2246.632766862188,1140.1915790060798,337.9480783774373,1191.8699101048994,803.2028512056639,427.05643027865233,8516.310767506158,3684.7851004723448,3543.4650162550074,9663.71996002854,2308.394559952404,77.2692532205142,8283.0120315577,1555.7180242296995,145.29708860419873
143.9020438326667,973.1286325837253,29.186303754287728,3738.6234811426534,755.4344342336948,1388.6058802830341,1137.088997354005,130.44276923572193,3417.092153248654,555.232712109095,424.3223385621066,6540.643048969757,2904.456703277704,5748.578767221739,2793.6653709272223,4784.547297882741,71.99719009404653,2930.059029895869,1635.2310904944025,1016.7883257134683
