dmsABC,fnr,ansB,frdABCD,icdA,sdhCDAB_b0725_sucABCD,aspA,yjdHG,arcA,narL,glpACB,focA_pflB,adhE,crp,araJ,gltA,nuoABCEFGHIJKLMN,yhdG_fis,aspV,dctA
2177.4172497330464,1476.095511045242,164.11971024202637,152.2564418983882,358.24605125179994,169.39693917376002,5065.704090507844,6441.037576923809,6659.224503096954,796.2330524130748,2826.956578903405,2007.3537212678366,1698.3313720788503,766.0676863170929,316.62742507286737,713.0020775890413,172.99669710771744,1334.136174653322,274.3435432736404,899.3592553601674
2358.3937612715504,1644.7000759489974,241.4937040364537,199.15716283022957,121.92337378224656,113.0257187001424,4932.485966833217,5229.740710489007,7014.711121730352,576.4649008418777,4573.951882335033,1743.6988026602453,1014.0527675156185,1363.2268242118955,566.4557035688599,825.9578959822563,268.57040590324607,1031.5896618828638,42.45072517587215,675.007925003789
1917.9823538631422,1249.6438621626478,238.20913708272155,121.21124203855112,228.30929247406345,167.50853737568528,4891.451097554871,4088.282554736517,6024.18666852689,793.5614972174558,4181.854024042806,1634.1901872379667,1406.4421741120746,1426.006292225459,332.21553082371935,975.546234213632,290.5334776680351,1626.4134741363894,318.31063643543706,701.0083288833847
1386.955880211146,958.6386385010884,113.69886011847582,46.65964722358162,609.7877040737275,302.3814420010444,3945.8726047708396,1886.9508849001227,3311.1252488381483,2205.9277703373455,2553.8478522575715,995.3146232771282,1197.8299796827814,433.34906266330836,147.32957242076316,853.9117271773554,818.5635610744101,2683.039322009755,812.649230936809,983.9465645192627
1795.226055701334,1581.8142473171772,154.31109926800488,78.53565375450421,129.10180332459765,56.38837759773811,5524.067122329493,2892.9049352380384,5810.426511099281,1577.4677259997547,2345.441248072153,1293.9899601940049,277.50145380346555,555.5451413823075,233.72374118007252,669.7612677600098,475.27744573714926,281.93299688531886,1.038204835205817,850.8877929193733
1753.6524642875509,2001.0073025939785,113.02179908963505,72.39581167769845,28.527234168337987,82.64836288437525,5949.971831933403,1436.1586376143246,7748.113835590835,2220.087455994538,2399.696105894932,1040.8097424650853,1112.9485990134924,342.86000878571775,71.5103123459796,416.17120283876505,287.0517318795635,1955.964529993356,473.02857619499116,514.8793528034462
543.361847125158,311.4571809089767,81.02232018469876,35.742718909976396,1725.2167913117553,995.2576181018347,2029.050337384767,1993.9025175107113,570.9155044940552,1740.6075670039374,3108.0394109730732,535.4095940508817,998.1455766167791,598.1823844803403,176.63834564802937,1571.8493786098152,1399.8901213586432,2220.0906132839814,397.25697405999983,1252.6486736665288
651.6062006703387,208.1982875985216,110.04023480277444,112.75707283580952,1958.629081647674,1706.4605950779946,1198.5982891571084,6530.522008322602,231.7636866178267,589.9774764216103,4986.934166681569,625.3432537520148,2166.8459713205134,1369.077412658466,594.3152711210594,2439.679528446875,782.1573672514168,2564.122475485337,917.13801715969,1599.0899583494195
1729.3120981468755,819.569502435616,191.39948657517357,95.35803241523969,433.5130554942656,212.94286204843831,4527.665815791921,4381.446265452912,4298.6955291322165,1152.230662490357,4526.851646265442,1236.84629500675,924.3407838683634,1040.7353694848794,347.0908379185791,951.1311960146063,422.421221469178,2151.8206024469246,523.9761330977507,993.034928474764
1343.697397897155,803.9121538158638,58.21943814533419,32.3913089660984,658.7969748004257,141.3454725994894,4004.4873278139207,227.83592772579556,4384.572815138605,2640.507076098981,2239.2831129236897,633.6515636505347,957.1292333869984,55.93720146231737,3.2047654515622415,158.85840765943547,793.7211293019673,2407.634711011861,539.8152539323063,302.5256978897283
2154.549316762224,871.8729849913408,215.30080255247964,253.23780297388404,428.4261478841968,267.5584550569401,4750.060689436322,7193.869554007619,5058.207759483329,271.36142571149435,5106.331099229426,2040.3171959925235,1103.8217483845508,1450.979590560648,538.6004470594443,948.0577098653256,137.41444692331606,767.1989677098758,21.43017075816016,703.412952679157
2260.77306850518,1278.4960601279388,237.3934468505408,185.77119726849136,296.41998810473035,200.16108133552174,5200.272180511121,5834.514641275793,6630.55657545914,519.503519720558,3635.184278413007,1734.510720109367,1789.422768035379,1637.2482158186453,611.4669850710775,745.8201519481531,146.72870370189762,2133.947458269114,451.30722271935167,473.34290382513785
559.7023311866809,328.22464739206316,67.75292960740782,34.805803982215096,1661.0022972738507,862.3700974666145,1979.0119664635465,2331.860126911944,546.6766410205112,2151.666163088018,2631.4491564413925,502.7468545826695,1121.3720026989815,431.36376662516363,242.254266272579,1525.5878705790728,1535.8778548451876,2658.578461083282,614.9248480167589,989.987626613885
1851.935889227005,706.8055631251759,159.0224279190271,123.86819552342979,714.4247261014937,252.72366694831626,5153.92272988808,6138.967146996751,3416.242449585605,849.3349653610331,3686.266706391349,1645.0032214991154,1290.5760632020094,1365.6533444005609,522.3037025425168,1367.0058641729845,352.2922958988359,1068.0950441311104,41.13072604465757,646.386112527221
2045.4686740631391,1877.2442335434414,147.76858704384458,73.59142753091486,71.12209007162527,103.04401036930132,5446.805782081421,2495.708986016856,7382.516460175446,2041.483243135741,3323.705955398075,1154.0452400897125,1701.8753293992922,533.3466605306197,201.5107227425233,700.4800279740672,480.18211605764265,3595.724348919526,1392.5073204835194,511.5994447740972
1763.2549319371142,2071.7343797839058,49.30454343159366,34.6260742520793,13.578352277509007,51.23879713748081,6106.402353150559,171.70550950122438,7846.651181802626,2662.7155651524795,2419.4559398300976,917.3354289451272,1216.2611119134979,39.71517217757224,1.1433064055197144,56.074836822078474,336.9623688638532,3016.894804723993,1435.8431490706012,152.34644339199528
1625.6732584583497,1043.1704839603083,195.01198335685046,120.55254874234708,371.82334123015954,218.44753004563682,4238.544793443246,3717.011205583759,5602.826400815874,896.2299054194012,4163.244103608475,1439.3028448710534,1394.6311800258866,1107.1064918688537,428.6932623604917,824.5561135513634,331.88260009962164,2182.0679762999325,438.877321198801,641.1270746432325
431.9347835854773,194.83255975070227,51.1722182223937,41.36384078471253,1996.8652826778425,790.6474903245552,1113.700035834891,2255.8073051021743,269.58971976362113,1942.3447047091504,2749.799546521917,413.84668592279604,1304.6038410857166,461.759814341892,161.55329018961075,1562.4047372817083,1507.015611561699,2901.9334666685054,850.2614019884824,1274.2923539608028
1136.2431874212255,519.0530100794099,57.726933019948156,31.789717948000607,847.3693636934596,393.89364479592604,3642.494201793513,630.88571916713,1676.0524695880265,2591.567747279856,1724.2574663569808,515.2368948465959,1322.8875821105867,117.96114508874588,11.144203393554248,337.0348622162433,978.3248599570219,2990.6733239251525,1419.0711940301908,653.2502304172715
96.99562374172541,53.82596988598242,18.037169656999506,12.003605140929448,2209.6068122740216,1272.9690097723585,333.0719813568428,743.0803226068649,13.814889221730766,2554.9723059088396,1128.8853504998642,106.5613330495146,1380.7422163809024,127.29309266825408,15.66904466974924,747.1908982913243,2103.3817248356345,3531.7941025140717,1841.83410415915,831.7077777462006
1270.9959074956387,1107.6057083758838,162.10323373060845,86.50970173582884,735.4127561675754,293.6739610757129,3456.130722229694,3484.2186203938268,3708.414076280899,1399.3301793022456,2703.6122191858835,1303.0577710018094,1371.0162992984426,631.5359135006728,290.85890103778263,1114.050346424061,469.34580650614237,2773.7851950617387,595.1040234788343,1088.684062508442
1227.8851910810874,666.1799190918498,73.13361663745553,62.46976018153856,795.0963010034986,306.6598377738598,4039.267275967836,1317.4991077123673,2415.8897593291354,2174.3523526244667,2677.74607545364,748.1975966303706,738.0136134123386,278.83504875065813,71.2627203380938,726.5808448294874,955.5432307963396,1796.6064252098545,236.4273127668324,732.0907508719357
664.1198842285734,405.9088239181736,84.09631879162492,50.953119336118796,1624.2099467002274,905.8271559555188,2217.102437257719,2398.409618352918,570.8093752177923,1884.963844581876,2591.714931902025,605.7436420847135,1604.870309418338,484.5135815020338,151.85172168753743,1432.2020232099555,1015.5419793692437,4377.946776585788,2039.6277187451312,1586.873848100058
2749.4382325043293,1994.9083377899203,268.91958938402496,276.6640524651603,26.477449097933942,110.05435582960882,6020.605480234016,7554.824990975706,7767.906781196117,9.94050523040928,2840.582653052401,2558.9967650278554,2620.269847641341,1741.0850505330332,629.3978449209608,705.1957117514842,4.8645605568724575,2822.500695213645,862.2022483613125,639.9109998327332
1980.430218188688,2054.408423273164,83.49364884841039,51.635309355853344,10.759825662142461,46.960483240712996,6078.067874463714,1150.735430963963,7872.210770919935,2279.741281779852,2503.5257520150767,1105.8725053206226,866.3183673854126,208.60673645609063,41.18839367448679,225.09075138422887,265.9955905459795,1217.8451460952326,97.84264293564596,413.7661772939235
484.4480783141011,341.0623411239761,49.769863698266384,23.391100923824464,1555.7188428880233,931.8950557633696,2081.198580421861,1267.1197146753352,751.6551487865523,2404.453658568676,2778.511020605509,393.956995127494,1251.6625062809144,324.27737497963375,95.55664060525116,1018.4467964274197,1562.3555680832244,3439.165154569995,1465.5512250796355,927.1981275963592
1897.0429367573847,1730.0760864398114,222.29371592246486,174.00631967658126,221.06122449570682,122.05438287624493,5426.288613967314,4714.459425929209,6103.1805379999,831.8957937328911,2727.3058325963875,1897.7657009879592,1427.697383826944,1111.1880263829269,560.8861529913513,868.2689683058326,250.93375302455803,1870.7524503602524,425.0976066987519,694.9723310817799
1591.7423574832999,1086.2235027609427,148.4305252928191,54.579224027816494,407.54591042184336,110.964746955908,4845.064592224068,1599.4108097740925,5178.5768086334965,2270.84662771003,2863.255494261549,994.7626820013946,751.4044258849558,357.7763237063691,95.32882308991785,465.61743514899206,617.7113989410824,1506.5231634959464,181.9026887230964,557.2584904988842
1716.0900077675028,1223.2522495716842,133.10167811117492,72.59523995375883,464.66014445112364,178.39729703633233,4879.779336784417,2711.336030125249,5619.7695072727065,1935.9840141480374,3430.410731682273,1385.5081776247916,1302.9793713679285,583.8759396658724,269.89740935486725,745.6858591356051,670.5800464279241,3340.233943658443,1178.9145354715108,920.799786817171
1699.2758076641599,911.0744402945016,187.2705937049179,100.36059451991035,964.5851378799459,213.71514580972917,3659.442039477663,4848.623633952276,2246.764181033305,1043.3379302760186,4018.53841802234,1109.7379305630966,115.11822596377485,1150.8996280556842,439.5272064770029,1562.3300943416555,535.4112432331785,79.54386724123066,0.022161495943673237,1023.2948556820191
2648.967745583766,1484.4724711571735,249.03789442183032,156.94936626880698,155.97400247647425,140.04530090418322,4646.994269991547,5731.786903717808,5808.644995498405,542.8889920323456,4310.727244948774,1729.0063282592205,2028.587783769433,1472.2173550660266,552.8515876064706,830.1659844816835,225.2550072892244,3314.205264206799,1213.993629983818,569.1119167169909
1204.4745395770653,555.8090873986,153.8719628977731,65.67213813027692,1031.0713092416186,585.7209010133764,2697.767455348749,2792.691826407089,1923.689494587912,1272.068874023258,3500.399250961309,933.9353781947597,1260.8355027511352,872.4529717430272,393.0895928909956,1597.513759574166,758.3147890175293,2470.6027030783835,482.0793751991759,1071.0768295330472
1102.2258546383407,707.7150500804718,126.7344160614791,79.99895233909007,939.5090252476442,405.25989658477687,3634.2503590803135,3687.394253444528,3350.8387501783777,1601.335443229548,3402.720840739723,981.8440960298017,1737.6858829301623,717.6545430289389,298.2688062801855,1078.7117012293145,693.397528476459,4148.239425686488,1685.9287138830086,1052.0818275267773
1616.4598014906442,547.8152774332092,122.12983720856556,160.0047654870606,1055.7726289346554,588.7881593452872,2106.176724378536,7300.563676521415,1138.1525857547538,202.4280150979763,5244.147602208344,1591.8159079634463,453.3438519723612,1559.4572021213455,609.4786480308662,2248.1799644729404,196.37673315407363,323.9870754480966,1.3619529876982246,939.9975675850025
2394.02495574359,1598.7808208145154,233.42535599125733,244.31256646485627,103.96118260934773,125.34877581651443,5176.367749434487,7522.497169055592,6294.636108205466,19.359863132254734,5103.189803919928,2487.3855237009802,1114.6870602012038,1736.3628720950994,628.5714949214407,1009.666012230918,14.767643471190336,716.6312943283708,11.95346426157565,470.63092486995185
