rcsA,ftsQAZ,wza_wzb_b2060_wcaA_wcaB,nlpD_rpoS,nhaA,osmC,dps,acs,crp,galS,cirA,dcuB_fumB,GalR,focA_pflB,epd_pgk,nagBACD,glpTQ,galETKM,tsx,gntKU
1014.4926985720824,1196.4703008206336,0.2716256718765991,11191.519978366492,1591.9881155621124,5547.646484374405,4568.876726630379,986.5135246593936,3521.864602998897,527.6091073243421,920.2908257633836,643.4285178772222,2804.6684529691775,18910.92355637395,19121.856813707946,1376.2297964998975,1853.4924866470133,880.9600958789625,5478.428802934564,2363.615455812808
2883.274590017502,1106.7589033673673,2.2998810170364217,6144.804410167142,751.315801808392,3363.2461168884893,668.6195066245557,749.9034166447623,4755.055872262414,454.71543841211366,1160.1921416676664,329.1727141666206,2587.428992763906,19591.229717250826,23070.131909284766,1395.894386206282,2516.715754189752,843.0429177920677,5335.988374044757,2008.7921726589113
12459.932186282815,2242.4726679757127,19.89871471195235,6833.842535459935,786.5314353801981,4010.5352437729994,787.4221011339818,677.4573484644557,1998.9360319805448,314.5942448594646,429.1105203494232,2320.526966280061,1041.1774927240165,17646.510220906723,11555.0886923505,1048.8930162727886,798.2591276038369,792.9442181714543,3608.963219726451,1083.298361204889
12959.719284581355,1335.6106015846385,20.159347163262233,2139.8037416209804,158.57238389216766,697.9601735188048,8.57093609026933,357.75160425003173,1587.4599530194187,393.26635218858365,381.9746463833531,2018.4669078512259,1048.2603682928252,12685.615577686533,8025.923818610889,764.933365975594,648.6777128128523,484.8351878809227,3115.449768517476,733.9483174901991
7720.861101932624,1792.8227439884656,9.079561666694566,4872.7639573599,579.67092172717,3470.3451268552863,390.2928648473054,716.8836386761842,3562.4474234902355,397.7599749664336,974.1224598468964,985.8397938795083,2237.417965147251,19364.849638406085,20446.373121966164,1287.0554337440865,1630.529090626005,1057.489285660245,4017.899156145415,1667.8999523190923
15782.97272776275,2182.2980423387853,28.71183072523362,4197.735147139906,346.911468162498,2049.1148803625947,124.7050968740225,332.3322486218106,771.3587835819908,333.35237765450836,104.21089469940507,2863.917013653778,524.1572475387461,6070.874266346491,1465.6482744307318,501.3180425953677,144.1914292776541,367.48570420419435,1982.1090511605826,221.6883837402405
1808.4345921917084,237.20857541676,1.0258645928310528,708.7605215622339,10.569397642982386,15.588168380321527,0.01567716185416923,397.0601556748061,5166.228344512902,417.4332928093193,1180.2004561130952,213.35389056748642,3186.3088486235865,20594.2299381984,24661.503631735548,1297.597682777132,2445.102514844872,936.2461132759717,5631.522567713712,2791.788701533624
11028.085880471523,2362.017387987972,20.309726454307338,11276.088590316167,1564.4482292611358,5524.564089119112,4384.210908905351,798.0792211227722,2251.6830550407612,409.38853239101707,741.7624374146162,1382.7569748871686,1324.4581786549234,18969.097716061235,14711.239139643576,1092.9900680217931,1295.7514735465488,995.9061474773404,4472.658397872478,1458.436113000189
9449.359825414123,1718.7112824760666,24.369716889241918,4634.710092686441,537.7576883148001,3522.9889913746492,201.1687662219687,448.2267331403218,2564.28402751159,483.3071319978775,594.9655081292252,2460.278761243156,1408.020750631443,14985.186827439431,9220.38089516228,1195.8759618493045,1074.2761733596387,656.9627215970021,5017.945609126938,1233.359898602281
3014.03602388789,982.0119205174492,2.052549015175958,3674.169155942341,393.3364000462248,2451.676409394984,166.88401949682253,652.5837836374676,4738.1256614015865,468.5746756914365,1178.0198335253774,248.54063418085323,2277.311471720054,19784.499635441283,22300.571047718404,1162.497359282693,2471.0385935377994,855.5315890042833,5396.907312966453,2425.528799577077
