atoC,atoDAE,atoDAB,rpoN,hypA,glnALG,glnHPQ,nac,hycABCDEFGH,dctA,fdhF,nycA,arcA,nuoABCEFGHIJKLMN,crp,rtcR,fur,fhuACDB,appCBA,glpACB
3915.733993977451,3529.0094694486384,320.274324052123,4941.176239394181,86.39011135023334,162.1194308113546,6888.489578590892,662.2379848657878,4599.938380524341,3024.343250417255,1154.3377033409959,4158.430035282752,2257.624413040119,376.3417793684136,1386.7355690782656,10.577151437753326,1922.5557877503213,83.19760839695694,1969.4924084650306,276.9695860108293
5161.628228388615,4365.525348061956,414.57972963645767,4563.936925603934,114.86085484911905,156.4589374915417,7815.273631694853,561.5053577704964,4247.774992141587,3564.5098816970317,928.4375995287293,3663.8260877369735,1969.8860954005186,619.815108137315,171.07808633739637,12.833923547841106,701.2292864248785,88.01629967593884,1886.685819695961,44.57089087074935
5408.707022653718,4410.2017338114565,401.69978760818077,5567.906909942763,117.90546206724919,210.62541517012139,8946.251301842562,659.9090035414073,4204.472918061179,4098.742219401749,1436.375156328421,6451.386794053445,961.7016722346576,1563.8049387842188,2352.208294586241,17.523595947578865,4100.288005288185,68.39951800190687,1154.579594537017,558.1564468856808
5253.185660845793,3879.3112214106177,306.46496662547,3871.490796882655,89.85559986312798,97.68319979660905,6036.9420576583325,555.594899570273,3739.042492284113,3691.031374471892,519.7239368084204,1928.2697197824234,1884.8004626851612,483.8469364697425,459.72890637720917,9.052862945487133,1134.9286032902744,87.48159258193407,1995.4626859760199,124.66409004211502
5659.801902994961,4200.087419823338,444.75497151367273,4792.811408194812,119.9221897473806,182.68732038545625,9134.87446249662,885.2386775644824,4525.349445937033,5129.791278832141,1014.1529908734627,5993.176252765038,1347.6215866914765,1258.8820932431402,3990.2677654743306,11.921522620395033,5121.325109306997,48.28198637312022,1496.4448172864347,911.0167570759016
3767.7289520940963,2848.537044398106,235.17693711684075,1583.359484358784,73.96228984806164,123.69721266987446,4351.019911436891,591.9190091191564,2708.751671548432,1630.6577061580954,184.3429465754947,573.0234062202765,2754.150402533025,142.23063381954975,2286.734448949485,2.199985835864345,3172.5147989703873,65.01471627221242,2195.460540577766,423.35099357925515
5133.986600072918,3722.7976014186506,394.09290760399546,6722.978639163443,124.81488056035322,255.94989166348458,9767.020431335992,861.2172231746446,4000.757403239814,3483.9607505194244,1857.077912399812,8773.98296879082,1139.0837868189853,1730.4153109770264,6852.535743460317,17.650732479624928,6567.484354152748,50.772212623799284,1312.9610151011598,1427.0778016701142
1483.565007746634,235.21918441647568,14.378450154766885,678.77326934023,29.228403375742694,58.033785818629106,3078.353665197923,319.72266545803825,1330.7657900053925,644.5010099706412,20.069491157984807,20.802451972830518,2812.1385023189728,28.86023378984304,221.8692925251053,0.3226695337916458,597.459398564757,87.94264848600254,2249.6660898941714,30.649435038674387
6080.617150699453,4706.11954382338,472.49438845885385,7915.412289872763,133.45404572112392,262.6233765647617,10565.736999966706,754.1777222331458,5807.441063390972,4263.681450817809,1963.6973803796973,10355.936874499528,656.8568863707503,2049.707065568245,6519.641531613091,20.21092432058525,5421.876301919351,56.63181460513945,635.6753652850645,1388.8096429037655
3355.9566486515155,1688.4340102572876,152.9858444192571,1661.5905651862745,77.47168334186433,112.54491852825274,5586.064872947778,509.79444204021684,3007.312137468789,2671.488237753016,158.21540240176222,311.4769487186183,2292.5323387970043,153.94263808939658,1322.4464303202953,1.508312698124234,2634.4368268396565,78.22067594204833,2252.7077016136705,207.7796642236552
821.5718853373504,89.11161103497395,3.599866182202464,413.5962961164801,27.99578320244288,66.00722627936733,2488.0559141524263,275.3239844364353,1160.7866878728962,490.50215913636816,9.345932258769162,4.617259627339227,3000.5573380839073,20.209269828915748,819.2954367106288,0.11322637139307748,2242.0286843893696,84.50103077584833,2295.785909508716,146.19255376686874
3827.763640287197,3486.819625517683,173.80950395377837,3603.439159364845,118.89488987402628,240.67018915987808,9044.196998231226,837.1692432999617,4662.9655415358275,1692.813018710867,678.9810215795648,2976.6491952131983,2269.5425430700666,403.4603791650168,7856.924604873749,7.831649217791663,4808.064777325792,52.02873414918045,1703.0603476180468,1070.6065292078786
5822.626674989945,4608.361619491927,460.92447411911525,8091.92576539359,134.774128007097,248.873415222432,10260.41832932652,799.0052764683335,4806.292984375837,4441.67035901062,1721.5145132594785,10313.396765473597,580.6063013536111,2042.8309625029253,8372.769171602911,23.84369325233867,4536.202051356826,42.482447038101455,917.3128322658876,1452.0678734750336
6332.419785083197,4771.879154005557,484.92156160171373,8786.192068075323,137.01548218457793,264.35214402209044,10726.817473522393,963.5518829764313,6688.196231724921,7536.3667047472045,2308.568879344843,11159.56185634646,131.68912940331177,2099.2042159086327,4492.558735078822,22.52327808028749,4553.225968342941,60.49220637457946,230.97665539099503,1412.4690927352526
3160.360168803739,2154.522979469857,164.30241476849775,1193.3907374736134,66.91395112877106,84.72336387776043,5909.9486901340015,334.2747414205759,2648.753079994603,1146.2321151004444,111.39420814511196,147.59283015596682,2729.1770849652107,98.2670252180454,2558.752607121168,1.7554833354448611,3271.9414225477612,83.64684808232668,1933.1594093139431,448.58251921599464
460.03051613597364,11.699071868814393,0.7902845945068516,164.01497500473351,12.114058292720088,149.6148356274608,3911.99257481721,442.368541477352,575.5289797591219,130.85016277691042,1.5324751875562996,0.4907018217985925,3090.7276541899705,10.44253566757874,6597.122003918215,0.03474068376538689,5444.148132761191,57.093449120123616,2306.1248621328377,1068.867407133067
2781.091875130821,1843.1273665892807,111.72794789384851,1185.282290946664,50.590757843304566,173.39919219611667,6118.318787059093,483.17060282160185,1942.906256287324,458.3905676027475,56.62468107350035,76.33093282088136,2592.514589756492,51.6907403207825,10018.286588958792,0.7961909079079031,7145.747928923075,38.088444342282635,2262.129390067054,886.7880146386333
3535.3169879272414,2068.011608599817,174.00268154597848,2061.0345400455844,93.22953033611059,190.9971128076456,7408.498832636219,635.6477826334534,3050.0541191229054,991.3580390409847,222.41732725966415,809.1749441757395,2622.9162067660804,182.54522741402386,8212.739923758529,3.547023986403439,5646.787565234492,57.38014366704334,2025.951056111067,1023.5542840974333
3861.746563277079,2990.4974658181777,211.39980398183465,2824.856092899089,79.13982627097265,155.44829220988433,6417.78641070164,652.2187783842462,4076.125165374822,1344.5438330440395,394.51748109420936,1181.6051021214896,2273.381344424088,206.60574714110237,4087.565593063363,3.8587675448043366,3799.3519871111653,69.84523997374825,1769.5256691235618,610.1014432053413
