nhaR,nhaA,hns,cspA,stpA,fliAZY,rcsAB,flgKL,fliLMNOPQR,flhDC,lrp,gyrA,kbl_tdh,ompR_envZ,tsr,livJ,ompF,fliE,nlpD_rpoS,acs
61.42021541979091,12100.773385752631,6548.231100715268,4453.0203307334805,8525.754717063295,779.2394900749257,668.3235551965664,1182.714048237635,2575.3028227180953,249.9472074921255,2168.298207197563,5317.561979551439,6716.290414386677,1029.7684647606295,6157.62036193355,2222.777666517088,6330.4485123601635,144.21721594052156,93.03214791661676,3123.561142392462
55.96760666093535,11074.052633049541,5378.773018087386,1654.8823785260654,3329.3834858442547,581.0396744557245,664.9699805153135,812.7574963289363,2097.0382355939587,209.0524018787392,853.6801603936448,1460.0345159818905,2990.2107559593555,831.5410608293868,3384.8527598402893,4224.683213356973,2597.348911737045,146.0989095747986,75.5722004575506,2695.013889416093
3.6800072049346375,7977.928074507081,5322.845705426122,5101.304320034387,13940.412651170414,865.2919558094527,534.5235527383988,2381.118025490896,4174.825588304354,406.0514872240046,4276.15345742865,7064.785347090172,8070.5719848641365,356.04276759416894,7958.166372442448,88.23454859646458,3771.933291534187,224.74798182313333,131.47328006937065,5125.432807111398
66.60342653375697,10162.296842088117,7304.540894531004,6415.767689748999,209.370690338516,1043.166840366463,672.2992176771538,2915.521408522562,4304.0619457028715,644.4581353817706,7.055565083758616,7342.566847855859,41.40555700365461,118.62837851636624,11786.757698406514,4949.533411962139,422.1041729965419,221.17382682554137,41.259525589720596,441.7855166185329
22.675320890027685,10004.842832469223,4752.678145121451,1849.5375813487967,9365.294552009174,674.0943564602107,614.958017457183,1170.0511439280126,3124.6096851036004,238.8533120017508,2315.973187239529,2707.2432459646257,6087.724156009575,803.723274423351,5238.980688242561,1326.4869879024236,5620.8250531821695,211.0814150440287,74.79766057056207,1966.1095515785826
11.552831433929963,8235.752115635674,4993.077595123563,2469.3230165325285,13873.348115387536,823.7455936267469,639.9126936219549,1171.951209869526,2030.0983744580224,322.9387156467857,4150.475654339754,3920.0675367696554,7334.069622200902,689.9477341895459,5345.569516490084,288.59916800514117,4460.930117572285,147.7167000193003,43.268503566754866,681.7655269702819
3.997348434290388,4923.422217519943,6666.436712163534,6314.147732497959,10682.196296964843,913.2890801094928,812.670586817812,2118.7407099579473,3740.5798765760132,585.0239492062641,4269.777556468586,7449.008814384814,7979.120867712633,159.77886470825518,7910.538111136859,70.4007334553566,2757.1336112796685,289.55771429082336,13.14396877872731,9.996506703407633
5.055572389654178,5211.180048891251,2500.876919916601,777.7972125864784,19406.995083635917,491.9816204928275,279.8407284747569,332.64008183710183,1720.4849840740292,95.56700166800444,4318.354970154116,474.0271171607155,8058.006883983726,943.0940094247693,2426.8669497490805,86.29695591079937,6393.802001552906,113.34223337612127,65.38219856742086,1091.806691022653
30.732321557785603,5310.2938442167215,6026.933028929592,4258.08398826172,12160.070979191782,683.8872046381573,874.9734936989528,1518.8899659498813,2452.4952239317113,350.02959014639794,1788.3300210266227,4910.768274330235,5783.85430377263,588.0203563534028,7776.870172375775,1696.5787627224818,4042.779365290389,250.12626301106357,3.7739500548234033,0.3789912738359885
20.030778804699302,9064.963084665069,6213.19171295313,4635.500799084965,12431.440428825796,750.8767092557051,740.3003443739456,1443.2876068696546,2825.6440917568907,488.8953050182367,3320.706983260135,4225.965596767802,7897.942747281126,249.42774074378136,6584.047821815561,910.884264301437,4004.780087228963,180.40352258583263,145.82339202958377,5267.2685842533865
14.535603536756554,6963.621173573192,7877.842295707468,5986.711252627253,10624.19094325469,752.7130807986866,674.6457150476801,1903.753642341721,3396.1381925856454,391.0403817596643,3293.496157986802,7153.765254967091,7775.044998376179,268.1391724797265,6723.605305625585,537.1705461502266,3265.5632622134785,231.0119037227712,19.536769194578927,14.457832072348944
